,Likes,Price,Pop_1E,MdAgeE,MnHHIncE,EA_LTHSGrE,EA_BchDHE,NtvE,Fb1E,categories_cat,GeoID_cat
266,112.0,2.0,57036,32.3,126056.0,5860,25475,42759,14277,4,30
267,519.0,2.0,57036,32.3,126056.0,5860,25475,42759,14277,1,30
268,67.0,2.0,57036,32.3,126056.0,5860,25475,42759,14277,1,30
269,775.0,2.0,57036,32.3,126056.0,5860,25475,42759,14277,4,30
270,39.0,2.0,57036,32.3,126056.0,5860,25475,42759,14277,8,30
271,0.0,2.0,57036,32.3,126056.0,5860,25475,42759,14277,8,30
272,224.0,2.0,46810,39.3,85249.0,5354,8381,38948,7862,7,74
273,6.0,3.0,46810,39.3,85249.0,5354,8381,38948,7862,6,74
274,10.0,2.0,46810,39.3,85249.0,5354,8381,38948,7862,1,74
275,1.0,1.0,46810,39.3,85249.0,5354,8381,38948,7862,3,74
276,11.0,2.0,46810,39.3,85249.0,5354,8381,38948,7862,6,74
277,1.0,1.0,46810,39.3,85249.0,5354,8381,38948,7862,3,74
278,0.0,1.0,46810,39.3,85249.0,5354,8381,38948,7862,7,74
279,0.0,1.0,46810,39.3,85249.0,5354,8381,38948,7862,1,74
280,2.0,1.0,46810,39.3,85249.0,5354,8381,38948,7862,3,74
281,0.0,1.0,46810,39.3,85249.0,5354,8381,38948,7862,3,74
282,0.0,2.0,65068,35.6,82325.0,11579,9680,28074,36994,8,147
283,0.0,2.0,65068,35.6,82325.0,11579,9680,28074,36994,7,147
284,0.0,2.0,65068,35.6,82325.0,11579,9680,28074,36994,9,147
285,0.0,2.0,65068,35.6,82325.0,11579,9680,28074,36994,9,147
286,0.0,1.0,65068,35.6,82325.0,11579,9680,28074,36994,3,147
287,5.0,2.0,82931,38.7,90789.0,15652,11285,37348,45583,1,148
288,0.0,1.0,82931,38.7,90789.0,15652,11285,37348,45583,3,148
289,0.0,4.0,82931,38.7,90789.0,15652,11285,37348,45583,9,148
290,33.0,1.0,65068,35.6,82325.0,11579,9680,28074,36994,2,147
291,93.0,2.0,45680,33.8,214165.0,1068,28920,32770,12910,6,97
292,21.0,1.0,45680,33.8,214165.0,1068,28920,32770,12910,3,97
293,134.0,3.0,45680,33.8,214165.0,1068,28920,32770,12910,1,97
294,68.0,2.0,45680,33.8,214165.0,1068,28920,32770,12910,5,97
295,0.0,2.0,45680,33.8,214165.0,1068,28920,32770,12910,1,97
296,15.0,2.0,45680,33.8,214165.0,1068,28920,32770,12910,10,97
297,1.0,2.0,45680,33.8,214165.0,1068,28920,32770,12910,0,97
298,104.0,2.0,42698,36.6,266241.0,3196,24433,30796,11902,0,96
299,15.0,3.0,45680,33.8,214165.0,1068,28920,32770,12910,6,97
300,0.0,2.0,45680,33.8,214165.0,1068,28920,32770,12910,1,97
301,155.0,2.0,24168,37.3,215829.0,459,14831,20301,3867,1,0
302,416.0,4.0,45607,33.9,152758.0,4201,21284,36449,9158,0,16
303,1.0,2.0,45680,33.8,214165.0,1068,28920,32770,12910,0,97
304,119.0,3.0,45680,33.8,214165.0,1068,28920,32770,12910,6,97
305,23.0,4.0,45680,33.8,214165.0,1068,28920,32770,12910,0,97
306,47.0,3.0,27875,36.3,194326.0,845,17876,18819,9056,0,90
307,132.0,3.0,27875,36.3,194326.0,845,17876,18819,9056,6,90
308,20.0,3.0,62685,41.7,218554.0,1314,41417,48067,14618,6,88
309,51.0,2.0,62685,41.7,218554.0,1314,41417,48067,14618,6,88
310,0.0,2.0,62685,41.7,218554.0,1314,41417,48067,14618,9,88
311,625.0,3.0,62685,41.7,218554.0,1314,41417,48067,14618,8,88
312,15.0,3.0,27875,36.3,194326.0,845,17876,18819,9056,6,90
313,34.0,4.0,27875,36.3,194326.0,845,17876,18819,9056,4,90
314,97.0,2.0,27875,36.3,194326.0,845,17876,18819,9056,5,90
315,29.0,4.0,27875,36.3,194326.0,845,17876,18819,9056,0,90
316,185.0,4.0,50180,43.0,223563.0,946,35743,38160,12020,0,91
317,71.0,4.0,27875,36.3,194326.0,845,17876,18819,9056,0,90
318,7.0,3.0,47775,34.5,150899.0,1996,29042,34591,13184,4,92
319,356.0,2.0,27875,36.3,194326.0,845,17876,18819,9056,4,90
320,0.0,1.0,27875,36.3,194326.0,845,17876,18819,9056,3,90
321,52.0,2.0,76863,37.7,189927.0,3876,47891,54649,22214,4,87
322,0.0,3.0,27875,36.3,194326.0,845,17876,18819,9056,9,90
323,1099.0,4.0,76863,37.7,189927.0,3876,47891,54649,22214,0,87
324,17.0,3.0,55649,51.2,332403.0,742,38605,44909,10740,6,106
325,32.0,4.0,55649,51.2,332403.0,742,38605,44909,10740,0,106
326,70.0,3.0,55649,51.2,332403.0,742,38605,44909,10740,9,106
327,0.0,3.0,55649,51.2,332403.0,742,38605,44909,10740,0,106
328,0.0,2.0,55649,51.2,332403.0,742,38605,44909,10740,6,106
329,153.0,2.0,55649,51.2,332403.0,742,38605,44909,10740,6,106
330,188.0,4.0,55649,51.2,332403.0,742,38605,44909,10740,0,106
331,252.0,3.0,78241,37.0,168839.0,1643,51730,61082,17159,4,101
332,141.0,2.0,78241,37.0,168839.0,1643,51730,61082,17159,8,101
333,57.0,3.0,55649,51.2,332403.0,742,38605,44909,10740,6,106
334,0.0,4.0,55649,51.2,332403.0,742,38605,44909,10740,1,106
