,name,name_cat
786,Mill Korean Restaurant,931
787,Community Food & Juice,279
788,Symposium,1355
789,Cinco de Mayo,268
790,Golden Lee Chinese Restaurant,537
791,Six Flags Chinese Restaurant,1318
792,Galli Restaurant,501
793,Puglia Restaurant,1190
794,Canal Street Seafood Restaurant,196
795,Pang Huang Restaurant Corp,1108
796,New Hon Wong Restaurant 新恒旺大飯店,1012
797,218 Restaurant,6
798,Nam Son Vietnamese Restaurant,975
799,Mooncake Foods,956
800,Bo Ky Restaurant 波記潮州小食,151
801,Deluxe Green Bo Restaurant,306
802,Tataki Japanese Restaurant,1381
803,J.J. Noodle Restaurant 好旺角,661
804,Fei Tenc Restaurant,445
805,Dragon Chinese Restaurant,324
806,Dragon Restaurant,329
807,Two Star Restaurant,1448
808,Cakor Restaurant,191
809,Nice Food Chinese Restaurant,1041
810,New Leaf Restaurant,1017
811,Kismat Indian Restaurant,734
812,Refried Beans Mexican Restaurant,1219
813,La Potencia Restaurant,788
814,Saggio Restaurant,1264
815,Yang Garden,1497
816,El Capri Restaurant,359
817,Papa Chepe Restaurant,1112
818,International Food House Restaurant & Buffet,651
819,El Floridita Restaurant,371
820,Ranchito Restaurant,1209
821,La Nueva España Restaurant,780
822,First Choice Chinese Restaurant,453
823,Tung Thong Thai Restaurant,1446
824,La Barca Restaurant,755
825,Caridad  Restaurant,207
826,F & J Pine Tavern,439
827,El Bohio Tropical Restaurant,355
828,Sing Garden Chinese Restaurant,1311
829,Empire Wok,425
830,Estrellita Poblana,431
831,Golden Jaragua,535
832,Canoa,200
833,La Orquidea Restaurant,782
834,Delicioso Restaurant,304
835,No. 1 Wok,1051
836,New Corner Restaurant,997
837,Gino's Restaurant,520
838,My 3 Sons Restaurant,966
