,name_google,name_foursquare,ratio_name,address_google,address_foursquare,ratio_address
1228,Flying Dragon Chinese Restaurant,Flying Dragon Chinese Restaurant,100,"1183 Morrison Avenue, The Bronx",311 Avenue X,86
1229,Mega Seafood,Sea,90,"1181 Morrison Avenue, The Bronx",311 Avenue X,86
1230,El sazon de mi abuela,La Roja de Todos Restaurant & Bakery,86,"1561 Westchester Avenue, The Bronx",Westchester ave,90
1231,Taqueria Mr. Pancho,Mi Barrio Taqueria Restaurant,86,"1299-1201 Ward Avenue, The Bronx",196 23 Jamaica Avenue,86
1232,Sabrosura 3,3 Luigis Pizzeria & Restaurant,86,"1553 Westchester Avenue, The Bronx",Westchester ave,90
1233,Delines,Deli,90,"1544 East 174th Street, The Bronx",Street,90
1234,MONTESPINO RESTAURANT,Restaurant,90,"1309 Bronx River Avenue, The Bronx",1309 Bronx River Ave,90
1235,Club La Nueva vida,La Strada Pizzeria & Restaurant,86,"1287 Evergreen Avenue, The Bronx",196 23 Jamaica Avenue,86
1236,Chinese Fried Chicken,"Golden Forest Chinese Restaurant, Brooklyn Ny",86,"985 East 174th Street, The Bronx",Street,90
1237,New Garden Chinese Kitchen,New Garden,90,"1535 Westchester Avenue, The Bronx",Westchester ave,90
1238,Jo Jo Pizza,Pizza Pizza,95,"1545 Westchester Avenue, The Bronx",Westchester ave,90
1239,Burger Hut,Tropical Hut Restaurant,86,"1521 1/2 Westchester Avenue # 21, The Bronx",Westchester ave,90
1240,Ajo y Oregano,Migueleno's Pizza Y Restaurant,86,"1556 White Plains Road, The Bronx",White Plains Road,90
1241,Wang Xiao Feng Restaurant,Restaurant,90,"1556 White Plains Road, The Bronx",White Plains Road,90
1242,NEW HONG KONG KITCHEN,New Hong Kong Kitchen,100,"1838 East Tremont Avenue, The Bronx",196 23 Jamaica Avenue,86
1243,A Kandola Inc,a taberna Portuguese restaurant,86,"1534 White Plains Road, The Bronx",White Plains Road,90
1244,Thai Cuisine,Rin Thai Cuisine,95,"1509 White Plains Road, The Bronx",White Plains Road,90
1245,Park Chester Fish & Chips,Fish,90,"1884 Archer Street, The Bronx",Street,90
1246,Archer st pizza,Pizza Pizza,95,"1807 Archer Street, The Bronx",Street,90
1247,JB Gourmet Juice Bar,Bar Sol De Quito Restaurant II,86,"1824 Archer Street, The Bronx",Street,90
1248,taqueria lupita II,Mi Barrio Taqueria Restaurant,86,"1770 East Tremont Avenue, The Bronx",196 23 Jamaica Avenue,86
1249,Next Stop Vegan,One Stop Restaurant Supply Corp.,86,"1818 Archer Street, The Bronx",Street,90
1250,Solimar Grill Restaurant,Restaurant,90,"1800 Archer Street, The Bronx",1800 Archer St,90
1251,El Ozuma Restaurant CORP.,Restaurant,90,"1800 Archer Street, The Bronx",1800 Archer St,90
1252,Young Hsin,Hsin Yu Restaurant,86,"1475 Beach Avenue, The Bronx",Between 39th and 40th street on 13th Avenue,86
1253,Brisas Express,Cam Tak Express Restaurant,86,"1359 White Plains Road, The Bronx",White Plains Road,90
1254,Halal Skinny Guys MIDO,Halal,90,"1300 Virginia Avenue, The Bronx",311 Avenue X,86
1255,Step In,Step-In Restaurant,90,"1309 Metropolitan Avenue, The Bronx",1309 Metropolitan Ave,90
1256,Halal Hot Fried Chicken,Halal,90,"1401 White Plains Road, The Bronx",White Plains Road,90
1257,King Sunshine,King Chinese Restaurant,86,"1853 Westchester Avenue, The Bronx",Westchester ave,90
1258,Bangla Garden Restaurant,Garden Restaurant,95,"1864 Westchester Avenue, The Bronx",Westchester ave,90
1259,Chan's Village,Chan's Village,100,"1328 Metropolitan Avenue, The Bronx",1328 Metropolitan Ave,90
1260,My Valle Restaurant,Restaurant,90,"1888 Westchester Avenue, The Bronx",Westchester ave,90
1261,Joe's Place,Theresa's Polish American Restaurant,86,"1841 Westchester Avenue, The Bronx",Westchester ave,90
1262,Olivia's,Theresa's Polish American Restaurant,86,"1854 Westchester Avenue, The Bronx",Westchester ave,90
1263,Circle Pizza,Circle Pizza,100,"112 Hugh J. Grant Circle, The Bronx",1217 Avenue J,86
1264,New No.1,No.1,90,"1839 Westchester Avenue, The Bronx",1839 Westchester Ave,90
1265,Mr Pizza,Mr .Pizza,95,"1448 East Avenue, The Bronx",Between 39th and 40th street on 13th Avenue,86
1266,Dynasty,Dynasty Chinese Restaurant,90,"1470 East Avenue #1, The Bronx",1 Worlds Fair Marina,86
1267,Ellie's Diner,Ellie's Diner,100,"58 Metropolitan Oval, The Bronx",58 Metropolitan Oval,90
1268,El Carboncito,El Morro Restaurant & Bar,86,"1524 Watson Avenue, The Bronx",Watson,90
1269,Great Wall Place,Great Wall,90,"1533 Watson Avenue, The Bronx",Watson,90
1270,Picanteria Chemita,El Guayaquileno Mini Picanteria Food Truck,86,"1120 Elder Avenue, The Bronx",Between 39th and 40th street on 13th Avenue,86
1271,Bani Restaurant,Bani restaurant,100,"1056 Bronx River Avenue, The Bronx",196 23 Jamaica Avenue,86
1272,El Paisano No 3 Fish Market LLC,Fish Market,90,"1562 Watson Avenue, The Bronx",Watson,90
1273,Nicosia Hills Co,Hyco Restaurant Supply Co,86,"1161 Elder Avenue, The Bronx",Between 39th and 40th street on 13th Avenue,86
1274,Sabba Chicken & Ribs,Crazy Chicken Restaurant & Coffee Shop,86,"1504 Westchester Avenue, The Bronx",Westchester ave,90
1275,El Molcajete,El Morro Restaurant & Bar,86,"1508 Westchester Avenue, The Bronx",Westchester ave,90
1276,Restaurant Con Sabor A Mexico,Restaurant,90,"1508 Westchester Avenue, The Bronx",Westchester ave,90
1277,El Cerrito Restaurante,El Cerrito Restaurant,98,"1182 Elder Avenue, The Bronx",1182 Elder Ave,90
1278,Comercial Mexicana,Mexicana,90,"1182 Elder Avenue, The Bronx",1182 Elder Ave,90
1279,Taqueria El Cebollin,El Mexicano,86,"1164 Wheeler Avenue, The Bronx",311 Avenue X,86
1280,La Isla Cuchifrito,La Isla,90,"1524 Westchester Avenue, The Bronx",Westchester ave,90
1281,General Tso's,General Tso's Chinese Restaurant,90,"1215 White Plains Road, The Bronx",White Plains Road,90
1282,Sabrosura 2,Oliva Paraiso Restaurant No 2,86,"1808 Westchester Avenue, The Bronx",Westchester ave,90
1283,The South of France,The Loft BKNY Restaurant & Lounge,86,"1800 Westchester Avenue, The Bronx",Westchester ave,90
1284,Taco Grande,Mister Taco Mexican Restaurant,86,"1257 Saint Lawrence Avenue, The Bronx",196 23 Jamaica Avenue,86
1285,John's Pizza,John's Pizza,100,"1788 Westchester Avenue, The Bronx",Westchester ave,90
1286,Las Camelias Bar and Restaurant,Restaurant,90,"1802 Westchester Avenue, The Bronx",Westchester ave,90
1287,John's Diner,Diner,90,"1786 Westchester Avenue, The Bronx",Westchester ave,90
1288,Willie's Steak House,Theresa's Polish American Restaurant,86,"1832 Westchester Avenue, The Bronx",Westchester ave,90
1289,Lian Xi Ming,Ming Star Chinese Restaurant,86,"1772 Westchester Avenue, The Bronx",Westchester ave,90
1290,Pupuseria Salvadoreña,La Cabaña II Salvadoreña Restaurante,86,"1824 Westchester Avenue, The Bronx",824 Westchester Ave,90
1291,Ingapirca,Ingapirca Restaurant,90,"1766 Westchester Avenue, The Bronx",1766 Westchester Ave,90
