,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood,Neighborhood_Cat,Borough_Cat
1331,Dunkin',ChIJgdxxj11cwokRK9TLJlH-gpo,3.6,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",462.0,1.0,"1710 Eastern Parkway, Brooklyn",40.6726242,-73.91150069999998,Brooklyn,Ocean Hill,121,1
1332,Hong Kong,ChIJzfNcyH9cwokRHhN5ivJYeaE,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",49.0,1.0,"249 Schenectady Avenue, Brooklyn",40.6700765,-73.9335583,Brooklyn,Crown Heights North,39,1
1333,Crown Fried Chicken & Pizza,ChIJeRuLYX5cwokRTRqn39aTcw4,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",82.0,1.0,"226 Utica Avenue, Brooklyn",40.67102849999999,-73.9311304,Brooklyn,Crown Heights North,39,1
1334,Hardee,ChIJTwgnmX5cwokRiZyZHgI4T6M,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",299.0,1.0,"209 Utica Avenue, Brooklyn",40.6721059,-73.93067090000002,Brooklyn,Crown Heights North,39,1
1335,Crown Fried Chicken,ChIJdSLZTXlcwokRNuwn2wD4GYE,3.9,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",27.0,,"148 Utica Avenue, Brooklyn",40.673851,-73.930959,Brooklyn,Crown Heights North,39,1
1336,Dunkin',ChIJfwrRN3hcwokRAjZbRjzyQZ0,3.4,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",195.0,1.0,"1720 Atlantic Avenue, Brooklyn",40.6770636,-73.93363149999998,Brooklyn,Crown Heights North,39,1
1337,China Garden,ChIJkyayXHlcwokRLF3husSmlFQ,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",37.0,1.0,"130 Utica Avenue, Brooklyn",40.674524,-73.9308058,Brooklyn,Crown Heights North,39,1
1338,Golden Krust Caribbean Restaurant,ChIJpceNRHhcwokRMWKSJlzqDFo,3.5,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",44.0,1.0,"1706 Atlantic Avenue, Brooklyn",40.67729600000001,-73.934079,Brooklyn,Crown Heights North,39,1
1339,Dunkin',ChIJf-ycs3dbwokRI1a_fvn4kXg,3.7,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",343.0,1.0,"542 Eastern Parkway, Brooklyn",40.66945630000001,-73.9503436,Brooklyn,Crown Heights South,40,1
1340,Silver's Crust,ChIJT_fzep1bwokRTvE28Dh5vTA,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",131.0,2.0,"747 Nostrand Avenue, Brooklyn",40.67186290000001,-73.95019169999998,Brooklyn,Crown Heights North,39,1
1341,Golden Krust Caribbean Restaurant,ChIJg0AOInVbwokRAJJVmNXWp2E,3.7,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",54.0,1.0,"823 Franklin Avenue, Brooklyn",40.67010399999999,-73.958024,Brooklyn,Crown Heights South,40,1
1342,Dunkin',ChIJ0TCaa3VbwokR8Hrno9af2cs,3.8,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",210.0,1.0,"806 Franklin Avenue, Brooklyn",40.6703444,-73.95830009999997,Brooklyn,Crown Heights South,40,1
1343,No. 1,ChIJLXbTWpZcwokRK5yiI09AcQQ,3.4,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",54.0,,"1067 Ralph Avenue, Brooklyn",40.649359,-73.920172,Brooklyn,Rugby-Remsen Village,141,1
1344,Dunkin',ChIJ9YakL7pcwokRkDDIkhuis6g,4.0,"['bakery', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",107.0,1.0,"1556 Ralph Avenue, Brooklyn",40.6391619,-73.918933,Brooklyn,Canarsie,27,1
1345,Kennedy Fried Chicken,ChIJjRntNp9cwokRp_XxOSUK24c,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",68.0,1.0,"938 Utica Avenue, Brooklyn",40.65022889999999,-73.9304233,Brooklyn,East Flatbush-Farragut,47,1
1346,No. 1,ChIJU2FfV4VcwokR7kmAtHTO130,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",23.0,,"1007 Clarkson Avenue, Brooklyn",40.65850819999999,-73.9246122,Brooklyn,Rugby-Remsen Village,141,1
1347,Burger King,ChIJC4QfOJFcwokRDjEXMqunnwA,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",870.0,1.0,"9006 Church Avenue, Brooklyn",40.65275630000001,-73.91951590000002,Brooklyn,Rugby-Remsen Village,141,1
1348,Popeyes Louisiana Kitchen,ChIJl7KJ0ZNcwokRTTRK0weU0FI,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",621.0,1.0,"9216 Church Avenue, Brooklyn",40.6539938,-73.9177723,Brooklyn,Rugby-Remsen Village,141,1
1349,Dunkin',ChIJI0mS1JBcwokRCeubWPG4aqY,4.0,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",205.0,1.0,"5901 Church Avenue, Brooklyn",40.65278149999999,-73.92160369999998,Brooklyn,Rugby-Remsen Village,141,1
1350,McDonald's,ChIJWxQOlilbwokRq0Nxww5T57M,3.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1104.0,1.0,"5707-13 Church Avenue, Brooklyn",40.6526983,-73.92319859999998,Brooklyn,Rugby-Remsen Village,141,1
1351,Subway,ChIJm33mOJlcwokR8MQcvkrAdio,3.9,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",82.0,1.0,"5107 Church Avenue, Brooklyn",40.6522328,-73.92905929999998,Brooklyn,Rugby-Remsen Village,141,1
1352,Golden Krust Caribbean Restaurant,ChIJsfAHNlZbwokRLXd4vkyoEc4,3.6,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",105.0,1.0,"4108 Farragut Road, Brooklyn",40.636757,-73.937203,Brooklyn,East Flatbush-Farragut,47,1
1353,Burger King,ChIJBzqDGfpbwokR4cEIRl3E-7g,3.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",514.0,1.0,"736 Broadway, Brooklyn",40.70087590000001,-73.94256140000002,Brooklyn,Bedford,11,1
1354,Peking Kitchen,ChIJP7GDRfdbwokRhLkIgIa4mMQ,4.2,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",27.0,1.0,"25 Marcus Garvey Boulevard, Brooklyn",40.69893549999999,-73.94107009999998,Brooklyn,Bushwick South,25,1
1355,Chipotle Mexican Grill,ChIJB9m8UC5bwokRavLqjPg1vnc,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",294.0,1.0,"774 Broadway, Brooklyn",40.7000298,-73.9409675,Brooklyn,Bushwick South,25,1
1356,Popeyes Louisiana Kitchen,ChIJ73B8PvpbwokR6RjiwzgmhY0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",379.0,1.0,"712 Broadway, Brooklyn",40.7012595,-73.9430979,Brooklyn,Bedford,11,1
1357,McDonald's,ChIJO0EmQfpbwokRGLOt2v1MNBY,3.8,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1870.0,1.0,"700 Broadway, Brooklyn",40.70136289999999,-73.9434895,Brooklyn,Bedford,11,1
1358,IHOP,ChIJy0o7jflbwokRrRIzOWG1qXk,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",1573.0,1.0,"785 Flushing Avenue, Brooklyn",40.7009907,-73.94141529999997,Brooklyn,East Williamsburg,54,1
1359,Taco Bell,ChIJAS3G8vlbwokRZqi-i29pqLE,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",721.0,1.0,"785 Flushing Avenue, Brooklyn",40.7010556,-73.94152220000002,Brooklyn,East Williamsburg,54,1
