,GeoID,GeoID_cat
537,QN05,112
538,SI45,171
539,SI54,172
540,SI45,171
541,SI14,164
542,SI36,169
543,SI14,164
544,SI14,164
545,SI14,164
546,BK09,0
547,BK38,16
548,BK09,0
549,BK99,43
550,BK45,21
551,BK45,21
552,BK29,8
553,BK34,13
554,BX37,66
555,BX49,73
556,BX49,73
557,BX37,66
558,BK33,12
559,BK33,12
560,BK33,12
561,BK33,12
562,QN46,141
563,QN46,141
564,QN46,141
565,QN46,141
566,QN46,141
567,QN46,141
568,QN46,141
569,QN46,141
570,QN46,141
571,QN46,141
572,BX39,67
573,MN04,82
574,MN04,82
575,MN36,105
576,MN36,105
577,MN36,105
578,MN33,102
579,MN33,102
580,MN33,102
581,MN33,102
582,MN34,103
583,MN34,103
584,MN33,102
585,MN11,85
586,MN34,103
587,MN19,91
588,MN19,91
589,MN19,91
590,MN19,91
591,MN19,91
592,MN20,92
593,MN19,91
594,MN19,91
595,MN19,91
596,MN19,91
597,MN19,91
598,MN19,91
599,QN31,132
600,QN31,132
601,MN31,100
602,MN31,100
603,MN31,100
604,MN31,100
605,MN31,100
606,MN31,100
607,MN31,100
