,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
7394,Schnippers,ChIJA2OcxvxYwokRxQ-FDbT-fy0,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",634.0,2.0,,"570 Lexington Avenue, New York",40.75692,-73.972321
7395,INDAY Go Go,ChIJ__-zwfxYwokRDwPf9s37cq0,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",13.0,,,"570 Lexington Avenue, New York",40.7570768,-73.9724131
7396,Smith & Wollensky,ChIJSRfEz-JYwokRA5qI_DOzkKg,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",2456.0,4.0,,"797 3rd Avenue, New York",40.75526,-73.97095
7397,Jerk Pan,ChIJA07Msf1YwokRJ-Z0euI9ukY,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",122.0,1.0,,"Park Ave &, East 48th Street, New York",40.7558556,-73.97460769999999
7398,The Chick Shop,ChIJ6xuy0eJYwokR-G-a9vkfnm4,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",26.0,,,"805 3rd ave Crystal Pavillion, New York",40.75545789999999,-73.9708588
7399,Playa Bowls,ChIJQ_74lrdZwokRgbQC6CyN8Io,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"570 Lexington Avenue, New York",40.7571519,-73.9726033
7400,Pokeworks,ChIJtxrq2QNZwokRYHPGuLvbnDc,4.5,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",268,2.0,,"117 East 41st Street, New York",40.751076,-73.97684749999999
7401,Previti Pizza,ChIJLWzY2wNZwokR_fsvuheHrfU,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",461,1.0,,"123 East 41st Street, New York",40.7510051,-73.9767973
7402,Cafe 101,ChIJAZdBagFZwokRer7MA10LbR0,4.3,"['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",22,,,"101 Park Avenue, New York",40.7508906,-73.9777785
7403,Dunkin',ChIJ74Vd3ANZwokRhptWj59t76o,3.5,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",133,1.0,,"370 Lexington Avenue, New York",40.7506704,-73.9768758
7404,Zucker's,ChIJ62nM3QNZwokRWWHv0RRGp1U,4.3,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1267,1.0,,"370 Lexington Avenue, New York",40.7505726,-73.97690779999999
7405,Delmonico,ChIJ_ftOzwNZwokRKV8SmZCPKtY,4.3,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",285,2.0,,"375 Lexington Avenue, New York",40.75093270000001,-73.9762579
7406,Pershing Square,ChIJBRoSgwFZwokRUSh30OTrJ6A,4.2,"['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",2508,2.0,,"90 East 42nd Street #5409, New York",40.752023,-73.97775399999999
7407,New York Central,ChIJsS1xLQJZwokRsxzPe8_HLgA,3.9,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",57,2.0,,"109 East 42nd Street, New York",40.7518494,-73.976451
7408,Everyday Gourmet Deli,ChIJmQ6P3ANZwokRTzmtZIPbPWg,3.9,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",221,,,"369 Lexington Avenue, New York",40.7506317,-73.9764462
7409,MakiMaki Sushi,ChIJkYtCWZVZwokRAqPZjlAbwhM,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,,,"360 Lexington Avenue, New York",40.75038970000001,-73.9770422
7410,MakiMaki Sushi,ChIJga1VXbxZwokRcZUivapDujA,4.1,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",19,,,"360 Lexington Avenue, New York",40.75038970000001,-73.9770422
7411,Sophie's Cuban Cuisine,ChIJ1wlC3QNZwokRobgn7L5rexA,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",340,2.0,,"369 Lexington Avenue, New York",40.7504506,-73.97659569999999
7412,Pressed Juicery,ChIJn_BS3QNZwokRO3qHvI47L0Q,4.4,"['restaurant', 'food', 'health', 'point_of_interest', 'store', 'establishment']",29,2.0,,"369 Lexington Avenue, New York",40.750428,-73.976575
7413,NYC Market,ChIJhXfvMQJZwokRvC6d2gdivuw,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",18,,,"109 East 42nd Street, New York",40.7520393,-73.9763424
7414,Hale and Hearty,ChIJS0fagiH9ZUARqmq8t_V66Uw,4.3,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",25,2.0,,"369 Lexington Avenue, New York",40.7504098,-73.97647789999999
7415,Rafiqis Food Cart,ChIJvXwpQAFZwokRg6mQKz9u1Jo,4.3,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",16,,,"104 East 40th Street, New York",40.7503739,-73.978025
7416,Alfonso's Lasagna,ChIJ4R-uXgFZwokRY4BU6dsn8Js,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1,2.0,,"120B East 40th Street, New York",40.7502073,-73.977473
7417,La Chula,ChIJ75FhiAFZwokRqjAK1GBFYPg,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",80,,,"89 East 42nd Street, New York",40.7524961,-73.9773022
7418,Sushi by Pescatore,ChIJ7zWbIAJZwokR5seh37-SLW0,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",14,,,"89 East 42nd Street, New York",40.7524961,-73.9773022
7419,Eli's Farm to Table,ChIJ75FhiAFZwokRfy6ueXUNQ3Q,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2,,,"89 East 42nd Street, New York",40.7524961,-73.9773022
