,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
2886,LE CAP RESTAURANT,ChIJZSEPNlJlwokRzykuST36RIw,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,,"229-10 Merrick Boulevard, Laurelton",40.6760723,-73.74109109999999
2887,Step One,ChIJ__9PpgZkwokR-VSgXgJuJ9g,4.3,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",80.0,1.0,,"229-10 Merrick Boulevard, Springfield Gardens",40.67606490000001,-73.7410897
2888,Golden Krust Caribbean Restaurant,ChIJxYrbbqpmwokR-QrLMYNPswE,4.1,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",241.0,1.0,,"230-02 Merrick Boulevard, Laurelton",40.675856,-73.740338
2889,Wing Station,ChIJbTg-JwRkwokRQXAkQVE03wk,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",179.0,,,"230-14 Merrick Boulevard, Laurelton",40.6757663,-73.7399765
2890,New De Xing Chinese Restaurant,ChIJx2rdaAFkwokR0lrtt3WeE8o,3.8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",68.0,,,"226-08A Merrick Boulevard, Laurelton",40.6770341,-73.7436501
2891,Badong Restaurant,ChIJnUlcaAFkwokRc-t6QtWDYCM,3.6,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",18.0,,,"22608 Merrick Boulevard A, Laurelton",40.6769824,-73.743706
2892,Percy's Jerk Hut,ChIJOxHAerRmwokRUrwE1mhiGNk,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",84.0,1.0,,"231-07 Merrick Boulevard, Jamaica",40.675954,-73.739065
2893,King Wok,ChIJIRPMcgFkwokRvml6PXtQxJE,3.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",70.0,1.0,,"22523 Merrick Boulevard, Laurelton",40.677532,-73.74402359999999
2894,Annie's Restaurant,ChIJDzcSRPtlwokRWD782MRV6y0,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"23112 Merrick Boulevard, Queens",40.67550339999999,-73.7390826
2895,Kelly D,ChIJlQiZoQFkwokR1cS0xE2UDAw,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",38.0,,,"22411 Merrick Boulevard, Queens",40.67795,-73.7450999
2896,Garden City,ChIJg43XowFkwokRgjDABmi4zwY,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",79.0,,,"22401 Merrick Boulevard, Jamaica",40.678038,-73.745218
2897,Jamaica Breeze,ChIJZffawgVkwokRlQ_-9W3yF5g,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",691.0,2.0,,"232-02 Merrick Boulevard, Jamaica",40.6749639,-73.73776389999999
2898,Frederick's Soul Hole,ChIJIVRx8AVkwokRhdy2__TkyUk,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",91.0,,,"233-16A Merrick Boulevard, Rosedale",40.6747361,-73.7366371
2899,Creole Plate,ChIJt4AJ8AVkwokRWvAmmG_UFxc,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",141.0,1.0,,"23306 Merrick Boulevard, Rosedale",40.6746455,-73.7367007
2915,Merrick Fish Store,ChIJY5yVFbVmwokR73nAQt5IOXw,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",9.0,,,"23421 Merrick Boulevard, Jamaica",40.674527,-73.7353845
2919,Caribbean Soul Rooftop Restaurant & Lounge,ChIJJwFYXw9kwokRlIIomuKFEb8,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",749.0,2.0,,"234-04 Merrick Boulevard, Rosedale",40.6741995,-73.73609189999999
2920,USA Diner,ChIJaUO0AAxkwokRwiYK54CVvhY,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",1690.0,2.0,,"243-03 Merrick Boulevard, Rosedale",40.67431699999999,-73.729895
2921,Urban Gourmet Delicatessen,ChIJsTL8pQ5kwokRZNpXKl1X9zk,4.5,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",70.0,,,"243-04 Merrick Boulevard, Rosedale",40.6738495,-73.7305137
2922,Island Taste,ChIJTTBsqA5kwokR4z5Q2FL4XPU,4.0,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1335.0,2.0,,"243-10 Merrick Boulevard, Rosedale",40.6738847,-73.7302447
2923,Di Juice,ChIJkY2oAgxkwokRzqBnGSbhooQ,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",13.0,,,"24314 Merrick Boulevard, Rosedale",40.673851,-73.730119
2924,Social Corner Restaurant,ChIJDd15AwxkwokR0FHXwBaW4Q4,4.2,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",459.0,2.0,,"243-24 Merrick Boulevard, Rosedale",40.67391200000001,-73.729809
2925,Justsquare,ChIJlw2KhgtkwokR_8L-KXqCRaY,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",78.0,,,"24435 Merrick Boulevard, Jamaica",40.6743937,-73.7278808
2926,J&S Pizza Restaurant,ChIJV7gRhgtkwokRwa7ZEgM0xxo,4.6,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",121.0,,,Rosedale,40.6743742,-73.7278654
2928,Mary's,ChIJ07GVfwtkwokRhKdgev8Vnuo,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",107.0,,,"867 West Merrick Road, Valley Stream",40.6743497,-73.72735399999999
2929,Little Jerk Center,ChIJ2Z5SXA9kwokRAnf70qekduM,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",44.0,,,"234-18 Merrick Boulevard, Rosedale",40.67417469999999,-73.7357767
2930,Sandz Bar & Grill,ChIJUX2cZw9kwokRM7dXJ38p2rM,4.3,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",383.0,2.0,,"234-32 Merrick Boulevard, Laurelton",40.6739185,-73.73544559999999
2931,Gookies Kitchen,ChIJoVmqXQ9kwokRTCnvCGRTGWU,4.2,"['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",58.0,,,"23420 Merrick Boulevard, Jamaica",40.6741176,-73.735716
2932,Dunkin',ChIJnZ4lShdkwokRQUAn5mjU1pA,4.0,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",260.0,1.0,,"23436 Merrick Boulevard, Queens",40.673814899999996,-73.7354423
2940,Paula's,ChIJSfZ2sSfzwokRF2Szy53607E,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",463.0,2.0,,"746 East 233rd Street, The Bronx",40.8926611,-73.8556182
2941,El Jobo,ChIJ8wNEsCfzwokRHrhhCuUSYt4,3.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",147.0,,,"748 East 233rd Street, The Bronx",40.8926613,-73.8556655
2942,Mix and Match,ChIJozXok13zwokRK_kDWjm6VYU,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,,"736B East 233rd Street, The Bronx",40.89274470000001,-73.855931
2943,Barry's restaurant,ChIJX4urgCfzwokRzYtrrSEoz4I,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,,,"707 East 235th Street, The Bronx",40.8948613,-73.856258
2944,Jerk House Caribbean Restaurant,ChIJDbt9fyfzwokRLzPHpDRWqfM,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",243.0,,,"4246 White Plains Road, The Bronx",40.8946626,-73.85640029999999
2945,Allure Restaurant & Bar,ChIJI8OZDynzwokRoMEs2Cm5eGE,4.4,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",20.0,,,"938 East 233rd Street, The Bronx",40.8909496,-73.8502058
2946,New Dragon Star,ChIJJX1CdCfzwokRjI8IRPP0sj4,3.8,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",56.0,1.0,,"4216 White Plains Road, The Bronx",40.8939087,-73.8567977
2947,Ali's Roti Shop,ChIJe5RAdCfzwokRu05x8JwxUBk,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",318.0,1.0,,"4220 White Plains Road, The Bronx",40.8940296,-73.8568253
2948,KENNEDY FRIED CHICKEN,ChIJUSmidCfzwokRVfyp7Omyz20,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",15.0,,,"4212 White Plains Road, The Bronx",40.8938338,-73.85693069999999
2949,Joe's Pizza,ChIJ8bT7ESfzwokRqAoOIWUZE68,4.6,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",160.0,1.0,,"703 East 233rd Street, The Bronx",40.893508,-73.85701
2950,Dunkin',ChIJI1b2DifzwokRdI-C3dZ4deY,4.1,"['bakery', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",223.0,1.0,,"712 East 233rd Street, The Bronx",40.8930639,-73.8569772
2951,Burger King,ChIJuddrh9jywokRSa41suMe0nc,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",836.0,1.0,,"4275 White Plains Road, The Bronx",40.89554179999999,-73.8564655
2952,New Double Dragon,ChIJqwuwGyfzwokR6T4Xmx2B4Og,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",51.0,1.0,,"4184 White Plains Road, The Bronx",40.89295329999999,-73.8573309
2953,Golden Ring,ChIJN-Nfe9jywokRoGrErGLjcBc,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",74.0,1.0,,"4342 White Plains Road, The Bronx",40.89666429999999,-73.8552189
2954,McDonald's,ChIJXS825yTzwokR9CYg8_dcYAo,3.6,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",405.0,1.0,,"4174 White Plains Road, The Bronx",40.892779,-73.85747300000001
2955,L J Pizza,ChIJSXz9cinzwokRgXxIAjf-oQM,4.2,"['restaurant', 'food', 'point_of_interest', 'establishment']",6.0,,,"977 East 233rd Street, The Bronx",40.89093829999999,-73.8490502
2956,Tony's Pizza,ChIJN_DqECfzwokR5Gm0K2Rw-eo,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",143.0,2.0,,"4189 White Plains Road A, The Bronx",40.8933356,-73.8576464
2957,Fever Tropical Cuisine,ChIJqXKT417zwokRP5r3j9iEiyc,4.3,"['restaurant', 'meal_delivery', 'food', 'point_of_interest', 'establishment']",75.0,,,"4164A White Plains Road, The Bronx",40.89247719999999,-73.8576027
2958,Riteway Deli,ChIJRTSiHSfzwokR5nBuuz56uvo,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,,"4168 White Plains Road, The Bronx",40.8926392,-73.85771179999999
2959,Lammy's Restaurant,ChIJUQX8cSnzwokRt7fXAiILowI,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",96.0,1.0,,"987 East 233rd Street, The Bronx",40.89082459999999,-73.84881779999999
2960,Golden Foutain Rest. Inc.,ChIJwVOmDCDzwokR2gCl1SbUAXQ,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"3925 Baychester Avenue, The Bronx",40.88916379999999,-73.8424922
2961,Popeyes Louisiana Kitchen,ChIJXVacFSvzwokRa3VpQDuwRDE,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",355.0,1.0,,"1201 East 233rd Street, The Bronx",40.88948799999999,-73.8434111
2962,China King Restaurant,ChIJFcowbCvzwokRlh6RfwfsWEw,3.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",31.0,1.0,,"1213 East 233rd Street, The Bronx",40.8894552,-73.8436523
2963,Inn At the Border,ChIJO9Q7ZCyNwokRmQ7aKreGSeI,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",123.0,,,"146 West Sandford Boulevard, Mount Vernon",40.8979972,-73.8385417
2964,NY supermarket deli,ChIJKxLn887zwokRabK3MYSFIzg,4.2,"['grocery_or_supermarket', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",15.0,,,"4200 Baychester Avenue, The Bronx",40.89571,-73.8444416
