,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood
13757,Fourth Wall Restaurant Pvt Events,ChIJUTKbAe9YwokR1uVAAF0KcdI,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"575 Park Avenue, New York",40.7651341,-73.9678189,Manhattan,Upper East Side-Carnegie Hill
13758,Omar at Vaucluse,ChIJq_kgHe9YwokRt6H56Q4svqg,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",55.0,,"100 East 63rd Street, New York",40.765097,-73.9674959,Manhattan,Upper East Side-Carnegie Hill
13759,Chaine Des Rotisseurs NYC,ChIJ7_hsBO9YwokROMcal7EI8gM,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"565 Park Avenue, New York",40.7649462,-73.96786349999998,Manhattan,Upper East Side-Carnegie Hill
13760,Altesi,ChIJUVVNQO5YwokR-MzkMXk4m5Y,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",125.0,3.0,"26 East 64th Street, New York",40.766661,-73.969596,Manhattan,Upper East Side-Carnegie Hill
13761,Fleming by Le Bilboquet,ChIJFTNbsyFZwokRX28gq8a_nW8,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",22.0,,"27 East 62nd Street, New York",40.7654484,-73.96949479999998,Manhattan,Upper East Side-Carnegie Hill
13762,Nello,ChIJzVH9NO5YwokRio6C3QpcPpI,3.6,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",461.0,4.0,"696 Madison Avenue, New York",40.765793,-73.97007400000003,Manhattan,Upper East Side-Carnegie Hill
13763,128,ChIJQ9FAYPFZwokRMObSqTbDM3c,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"128 East 63rd Street, New York",40.76472549999999,-73.9669206,Manhattan,Upper East Side-Carnegie Hill
13764,Tony Dragon's Grille,ChIJ3_-jzO9YwokR25lCKMuqvxc,4.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",216.0,,"Madison Ave &, East 62nd Street, New York",40.7654675,-73.970045,Manhattan,Upper East Side-Carnegie Hill
13765,Halal food cort,ChIJy_3c_7xZwokRLUO1PKzN8Qs,2.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,,New York,40.7647903,-73.9663865,Manhattan,Upper East Side-Carnegie Hill
13766,Amaranth,ChIJg2m_Mu5YwokRLiuVmGiGl7c,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",137.0,3.0,"21 East 62nd Street # 1, New York",40.7657259,-73.97035690000001,Manhattan,Upper East Side-Carnegie Hill
13767,David Burke Tavern,ChIJdcjMFu9YwokR6w1K45p4Q7k,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",317.0,3.0,"135 East 62nd Street, New York",40.76444199999999,-73.96708300000002,Manhattan,Upper East Side-Carnegie Hill
13768,Eat Here Now,ChIJGQSS1u5YwokRN4iN4NSFpuc,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",284.0,2.0,"839 Lexington Avenue, New York",40.7651454,-73.9658829,Manhattan,Upper East Side-Carnegie Hill
13769,Rabbi Pinto,ChIJo1GEFOVYwokRUnOD9_o455Y,4.7,"['synagogue', 'place_of_worship', 'restaurant', 'food', 'point_of_interest', 'establishment']",37.0,,"122 East 58th Street New York, Ny 1002, New York",40.7616889,-73.96944479999998,Manhattan,Turtle Bay-East Midtown
13770,Yura On Madison,ChIJj-gZtqNYwokRkHn458k1yhg,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",116.0,2.0,"1350 Madison Avenue, New York",40.7864899,-73.95494790000002,Manhattan,Upper East Side-Carnegie Hill
13771,Bistro Du Nord,ChIJlyaQ2qNYwokRN0M3kyN-28Y,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",2.0,,"1312 Madison Avenue, New York",40.7852663,-73.95577039999998,Manhattan,Upper East Side-Carnegie Hill
13772,Pascalou,ChIJaZdHxaNYwokRC5nuEnKTBeM,4.4,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",237.0,2.0,"1308 Madison Avenue, New York",40.7851222,-73.9558722,Manhattan,Upper East Side-Carnegie Hill
13773,Sfoglia,ChIJLenzb6RYwokRwsIJcrPNQ5s,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",165.0,3.0,"1402 Lexington Avenue, New York",40.7834926,-73.9528729,Manhattan,Upper East Side-Carnegie Hill
13774,3 Guys,ChIJNQtXMqFYwokRCNogEScLZak,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",319.0,2.0,"49 East 96th Street, New York",40.78733889999999,-73.953919,Manhattan,East Harlem South
13775,Home Kitchen,ChIJV1QJfMlZwokRx4f6t5Y7zD4,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,"155 East 84th Street, New York",40.7781573,-73.95588930000002,Manhattan,Upper East Side-Carnegie Hill
