,name,place_id,rating,types,user_ratings_total,price_level,geometry,vicinity,Latitude,Longitude
664,Royal Fried Chicken,ChIJ5WrGgM1mwokRVQIatEx6o4s,4.1,"['restaurant', 'food', 'point_of_interest', 'establishment']",76.0,,,"11701 Guy R Brewer Boulevard, Jamaica",40.68416670000001,-73.78277779999999
665,B&B Food Farm,ChIJRw5NCgxnwokRgfiAHtBwFLQ,4.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",82.0,,,"168-19 Baisley Boulevard, Jamaica",40.680647,-73.774817
666,McDonald's,ChIJTShPtc5mwokRZ2dw2VcSlEA,3.5,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",974.0,1.0,,"166-01 Baisley Boulevard, Queens",40.68016100000001,-73.7772904
667,Jay's,ChIJ-TYbzs5mwokRF1Qu2ZchA9I,3.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",16.0,,,"16568 Baisley Boulevard, Jamaica",40.6794932,-73.7775135
668,Cheung Hing Kitchen,ChIJQU8h3zNhwokRtWGzuRNbSKo,3.4,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",98.0,1.0,,"114-60 Merrick Boulevard, Jamaica",40.6900672,-73.7782513
669,Vibes 2,ChIJWdVE-7FnwokRoHOmOFcdmtA,3.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",236.0,,,"120-20 Merrick Boulevard, Jamaica",40.6836324,-73.77023989999999
670,Popeyes Louisiana Kitchen,ChIJ71K9AM9mwokRKQaxAvL1HA0,3.9,"['restaurant', 'food', 'point_of_interest', 'establishment']",886.0,1.0,,"122-10 Guy R Brewer Boulevard, Jamaica",40.6788923,-73.78022469999999
671,The Door,ChIJ05OCZedmwokROqIhxeXY1P8,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",4.0,,,"11434-25, 163-07 Baisley Boulevard, Jamaica",40.6786736,-73.7793753
672,The Door,ChIJQ_nSGs9mwokR2_a-Gi29YnU,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",4763.0,2.0,,"163-07 Baisley Boulevard, Jamaica",40.6786308,-73.7793655
673,Alonzo's Supper Club,ChIJy9D06tFmwokRh7uto6qDFWg,,"['night_club', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,"11911 Lakeview Boulevard East, Jamaica",40.681093,-73.78438600000001
674,Subway,ChIJPa9uitxmwokR9_9Q9pmjYOk,3.3,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",63.0,1.0,,"165-58 Baisley Boulevard Store 31, Queens",40.6783374,-73.7760196
675,Crab Du Jour Xpress Jamaica,ChIJQU_lKi9nwokR2OgWJ6HY4T8,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,,,"16560 Baisley Boulevard, Queens",40.67814519999999,-73.7762259
676,China garden & Wing stop,ChIJIRE_0W1nwokRGPS2QstpLCk,3.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",16.0,,,"165-60 Baisley Boulevard, Jamaica",40.67814519999999,-73.7762259
677,Crab Du Jour Express,ChIJS9MQlttnwokR40o0Onvze6g,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"16560 Baisley Boulevard, Queens",40.67814519999999,-73.7762259
678,Checkers,ChIJP8QfGbVmwokRyUCpiVQ3dxI,3.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",374.0,1.0,,"122-21 Merrick Boulevard, Queens",40.6835813,-73.7688541
679,The Blue Dolphin Fish Market,ChIJ37qPDPxhwokRSnuRIMsnWmg,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",26.0,,,"172-02 Linden Boulevard, Queens",40.6918265,-73.7780609
694,Bobby’s Jamaican Restaurant,ChIJzS3X9o9hwokRnMjjiKUOhl0,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",3.0,,,"111-06 Farmers Boulevard, Queens",40.70165829999999,-73.7656603
695,Tropical Fanatsy Cafe,ChIJz7iff0FhwokRjOf8aHPQzds,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,"11106 Farmers Boulevard, St. Albans",40.70165829999999,-73.7656603
700,Village Deli Grocery Inc,ChIJczpsKoJhwokR83NIpE--N4w,3.7,"['atm', 'meal_takeaway', 'finance', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",3.0,1.0,,"21202 Hillside Avenue, Queens Village",40.7246435,-73.75385349999999
701,Elegant,ChIJ-eZkgIFhwokRpVrLlrb8xA8,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",58.0,1.0,,"21206 Hillside Avenue, Jamaica",40.7246793,-73.7536776
714,MJ's Pizza & Wings,ChIJwVjiRYdhwokR_8vC6jnv6Lo,4.3,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",85.0,2.0,,"215-32 Hillside Avenue, New York",40.7271425,-73.74878939999999
