,name,place_id,rating,types,user_ratings_total,price_level,vicinity,Latitude,Longitude,Borough,Neighborhood,Neighborhood_Cat,Borough_Cat
9258,Kaieteur Restaurant Bronx,ChIJWxDrx9nywokRJPpmXJ4lZdQ,3.5,"['restaurant', 'food', 'point_of_interest', 'establishment']",104.0,2.0,"4379 White Plains Road, The Bronx",40.8978143,-73.85517309999999,Bronx,Woodlawn-Wakefield,182,0
9259,H.I.M. Ital Health Food Market,ChIJ4-qKxdnywokR9FXlf2Yw1K8,4.0,"['restaurant', 'food', 'health', 'point_of_interest', 'store', 'establishment']",38.0,,"4374 White Plains Road, The Bronx",40.897761,-73.854537,Bronx,Woodlawn-Wakefield,182,0
9260,Rincon Latino Restaurant,ChIJ_2CMy9nywokRGm6UMiliwW8,4.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",118.0,,"4360 White Plains Road, The Bronx",40.89738069999999,-73.8548137,Bronx,Woodlawn-Wakefield,182,0
9261,East Excellent Taste,ChIJ8fkSy9nywokR8PrjXW3Tet4,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",74.0,1.0,"4356 White Plains Road, The Bronx",40.8972691,-73.8548491,Bronx,Woodlawn-Wakefield,182,0
9262,Mistura Peruana,ChIJi0V4c-RdwokRvI_kofWwYlM,4.6,"['restaurant', 'food', 'point_of_interest', 'establishment']",90.0,,"86-6 Jamaica Avenue, Woodhaven",40.6924524,-73.8579036,Queens,Woodhaven,181,3
9263,SANTA FE GRILL,ChIJl_ZWdeRdwokRkOr5whHgOlU,4.3,"['restaurant', 'food', 'point_of_interest', 'establishment']",6.0,,"86-04 Jamaica Avenue, Jamaica",40.69246709999999,-73.8579565,Queens,Woodhaven,181,3
9264,Sam's Deli & Grocery,ChIJ3QeyfuRdwokRNSkMywoToYE,4.4,"['restaurant', 'food', 'point_of_interest', 'store', 'establishment']",89.0,1.0,"87 Jamaica Avenue #8, Jamaica",40.69253939999999,-73.85707109999998,Queens,Woodhaven,181,3
9265,Pop’s Cocina & Bar,ChIJIQ4bDeRdwokR_BBhTMGHD7o,4.3,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",414.0,2.0,"8522 Jamaica Avenue, Woodhaven",40.692462,-73.8582198,Queens,Woodhaven,181,3
9266,Double Happy Chinese Restaurant,ChIJ23C_DeRdwokRMT-bzrb7SwI,3.9,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",92.0,,"8518 Jamaica Avenue, Woodhaven",40.69243820000001,-73.8583783,Queens,Woodhaven,181,3
9267,Hong Kong Gourmet,ChIJsx6kAuRdwokRpvyhyTXDF0g,4.2,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",39.0,,"84-40 Jamaica Avenue, Queens",40.69229110000001,-73.85933949999998,Queens,Woodhaven,181,3
